paper,screening,patch,C,M,Y,K,L_t,a_t,b_t,L_m,a_m,b_m,de00
ofsetni papir 80 g,150 dot,52,85.0,21.0,21.0,0.0,49.0,96.0,-23.0,50.0,7.0,-23.0,0.43
ofsetni papir 80 g,150 dot,53,85.0,52.0,21.0,0.0,40.0,11.0,-10.0,40.0,44.0,-10.0,0.36
ofsetni papir 80 g,150 dot,54,85.0,81.0,21.0,0.0,32.0,90.0,1.0,32.0,95.0,0.0,0.43
ofsetni papir 80 g,150 dot,55,85.0,100.0,21.0,0.0,29.0,0.0,7.0,30.0,31.0,6.0,1.39
ofsetni papir 80 g,150 dot,56,100.0,0.0,21.0,0.0,52.0,22.0,-38.0,52.0,56.0,-37.0,0.71
ofsetni papir 80 g,150 dot,57,100.0,21.0,21.0,0.0,46.0,29.0,-30.0,19.0,20.0,1.0,39.77
ofsetni papir 80 g,150 dot,58,100.0,52.0,21.0,0.0,37.0,17.0,-15.0,37.0,88.0,-15.0,0.65
ofsetni papir 80 g,150 dot,59,100.0,81.0,21.0,0.0,29.0,95.0,-5.0,31.0,24.0,-5.0,1.05
ofsetni papir 80 g,150 dot,60,100.0,100.0,21.0,0.0,27.0,18.0,0.0,28.0,95.0,-0.0,1.39
ofsetni papir 80 g,150 dot,61,0.0,0.0,52.0,0.0,89.0,15.0,-2.0,88.0,96.0,-2.0,0.71
ofsetni papir 80 g,150 dot,62,0.0,21.0,52.0,0.0,81.0,46.0,5.0,81.0,44.0,5.0,0.92
ofsetni papir 80 g,150 dot,63,0.0,52.0,52.0,0.0,69.0,55.0,20.0,69.0,55.0,20.0,0.27
ofsetni papir 80 g,150 dot,64,0.0,81.0,52.0,0.0,57.0,44.0,40.0,57.0,35.0,39.0,0.32
ofsetni papir 80 g,150 dot,65,0.0,100.0,52.0,0.0,47.0,32.0,54.0,47.0,82.0,54.0,0.55
ofsetni papir 80 g,150 dot,66,16.0,0.0,52.0,0.0,81.0,85.0,-5.0,81.0,94.0,-5.0,1.31
ofsetni papir 80 g,150 dot,67,16.0,21.0,52.0,0.0,71.0,89.0,1.0,71.0,36.0,1.0,1.35
ofsetni papir 80 g,150 dot,68,16.0,52.0,52.0,0.0,60.0,60.0,14.0,60.0,87.0,15.0,1.47
ofsetni papir 80 g,150 dot,69,16.0,81.0,52.0,0.0,50.0,40.0,30.0,50.0,44.0,30.0,0.41
ofsetni papir 80 g,150 dot,70,16.0,100.0,52.0,0.0,42.0,99.0,44.0,43.0,56.0,43.0,0.67
ofsetni papir 80 g,150 dot,71,39.0,0.0,52.0,0.0,75.0,19.0,-13.0,17.0,23.0,-1.0,58.58
ofsetni papir 80 g,150 dot,72,39.0,21.0,52.0,0.0,61.0,62.0,-4.0,62.0,55.0,-4.0,1.14
ofsetni papir 80 g,150 dot,73,39.0,52.0,52.0,0.0,50.0,74.0,6.0,50.0,86.0,7.0,0.77
ofsetni papir 80 g,150 dot,74,39.0,81.0,52.0,0.0,41.0,79.0,19.0,42.0,37.0,19.0,0.77
ofsetni papir 80 g,150 dot,75,39.0,100.0,52.0,0.0,37.0,6.0,30.0,37.0,45.0,30.0,0.63
ofsetni papir 80 g,150 dot,76,64.0,0.0,52.0,0.0,63.0,94.0,-26.0,63.0,91.0,-26.0,1.23
ofsetni papir 80 g,150 dot,77,64.0,21.0,52.0,0.0,54.0,43.0,-15.0,53.0,90.0,-15.0,1.1
ofsetni papir 80 g,150 dot,78,64.0,52.0,52.0,0.0,37.0,43.0,-1.0,38.0,26.0,-1.0,0.92
ofsetni papir 80 g,150 dot,79,64.0,81.0,52.0,0.0,31.0,91.0,8.0,32.0,99.0,7.0,0.98
ofsetni papir 80 g,150 dot,80,64.0,100.0,52.0,0.0,28.0,59.0,14.0,30.0,21.0,13.0,1.39
ofsetni papir 80 g,150 dot,81,85.0,0.0,52.0,0.0,54.0,88.0,-38.0,55.0,38.0,-36.0,1.12
ofsetni papir 80 g,150 dot,82,85.0,21.0,52.0,0.0,46.0,64.0,-28.0,47.0,29.0,-26.0,1.33
ofsetni papir 80 g,150 dot,83,85.0,52.0,52.0,0.0,33.0,47.0,-9.0,34.0,45.0,-9.0,1.03
ofsetni papir 80 g,150 dot,84,85.0,81.0,52.0,0.0,28.0,13.0,0.0,29.0,84.0,0.0,1.35
ofsetni papir 80 g,150 dot,85,85.0,100.0,52.0,0.0,25.0,39.0,4.0,21.0,46.0,0.0,11.88
ofsetni papir 80 g,150 dot,86,100.0,0.0,52.0,0.0,50.0,33.0,-43.0,50.0,57.0,-42.0,0.33
ofsetni papir 80 g,150 dot,87,100.0,21.0,52.0,0.0,43.0,70.0,-35.0,44.0,23.0,-34.0,0.94
ofsetni papir 80 g,150 dot,88,100.0,52.0,52.0,0.0,31.0,94.0,-16.0,33.0,25.0,-15.0,1.36
ofsetni papir 80 g,150 dot,89,100.0,81.0,52.0,0.0,25.0,12.0,-4.0,26.0,29.0,-3.0,0.88
ofsetni papir 80 g,150 dot,90,100.0,100.0,52.0,0.0,23.0,31.0,-0.0,24.0,12.0,-0.0,0.64
ofsetni papir 80 g,150 dot,91,0.0,0.0,81.0,0.0,86.0,76.0,-3.0,86.0,58.0,-3.0,0.78
ofsetni papir 80 g,150 dot,92,0.0,21.0,81.0,0.0,78.0,75.0,5.0,78.0,33.0,5.0,0.86
ofsetni papir 80 g,150 dot,93,0.0,52.0,81.0,0.0,65.0,92.0,22.0,66.0,52.0,21.0,0.67
ofsetni papir 80 g,150 dot,94,0.0,81.0,81.0,0.0,54.0,53.0,41.0,54.0,85.0,41.0,0.36
ofsetni papir 80 g,150 dot,95,0.0,100.0,81.0,0.0,45.0,72.0,55.0,46.0,34.0,55.0,0.83
ofsetni papir 80 g,150 dot,96,16.0,0.0,81.0,0.0,79.0,23.0,-6.0,78.0,88.0,-6.0,0.53
ofsetni papir 80 g,150 dot,97,16.0,21.0,81.0,0.0,70.0,55.0,0.0,69.0,33.0,1.0,1.09
ofsetni papir 80 g,150 dot,98,16.0,52.0,81.0,0.0,59.0,21.0,15.0,58.0,23.0,15.0,1.13
ofsetni papir 80 g,150 dot,99,16.0,81.0,81.0,0.0,48.0,51.0,32.0,20.0,20.0,5.0,29.89
ofsetni papir 80 g,150 dot,100,16.0,100.0,81.0,0.0,41.0,14.0,46.0,42.0,22.0,45.0,1.09
ofsetni papir 80 g,150 dot,101,39.0,0.0,81.0,0.0,72.0,63.0,-14.0,71.0,99.0,-14.0,1.01
ofsetni papir 80 g,150 dot,102,39.0,21.0,81.0,0.0,59.0,2.0,-6.0,59.0,28.0,-5.0,1.17
ofsetni papir 80 g,150 dot,103,39.0,52.0,81.0,0.0,49.0,30.0,6.0,49.0,15.0,6.0,1.05
ofsetni papir 80 g,150 dot,104,39.0,81.0,81.0,0.0,39.0,67.0,20.0,40.0,76.0,20.0,1.21
ofsetni papir 80 g,150 dot,105,39.0,100.0,81.0,0.0,34.0,88.0,30.0,36.0,74.0,28.0,1.86
ofsetni papir 80 g,150 dot,106,64.0,0.0,81.0,0.0,59.0,97.0,-31.0,59.0,26.0,-31.0,1.44
ofsetni papir 80 g,150 dot,107,64.0,21.0,81.0,0.0,52.0,4.0,-18.0,51.0,45.0,-19.0,1.33
ofsetni papir 80 g,150 dot,108,64.0,52.0,81.0,0.0,37.0,48.0,-2.0,37.0,24.0,-2.0,0.62
ofsetni papir 80 g,150 dot,109,64.0,81.0,81.0,0.0,29.0,86.0,7.0,31.0,77.0,7.0,1.57
ofsetni papir 80 g,150 dot,110,64.0,100.0,81.0,0.0,27.0,35.0,13.0,28.0,31.0,13.0,0.8
ofsetni papir 80 g,150 dot,111,85.0,0.0,81.0,0.0,52.0,28.0,-42.0,51.0,51.0,-42.0,1.0
ofsetni papir 80 g,150 dot,112,85.0,21.0,81.0,0.0,45.0,79.0,-31.0,45.0,55.0,-29.0,0.74
ofsetni papir 80 g,150 dot,113,85.0,52.0,81.0,0.0,32.0,1.0,-11.0,27.0,90.0,-0.0,12.66
ofsetni papir 80 g,150 dot,114,85.0,81.0,81.0,0.0,27.0,11.0,0.0,27.0,86.0,0.0,0.61
ofsetni papir 80 g,150 dot,115,85.0,100.0,81.0,0.0,24.0,69.0,4.0,25.0,53.0,4.0,0.61
ofsetni papir 80 g,150 dot,116,100.0,0.0,81.0,0.0,47.0,1.0,-49.0,47.0,62.0,-47.0,1.45
ofsetni papir 80 g,150 dot,117,100.0,21.0,81.0,0.0,41.0,46.0,-38.0,41.0,59.0,-39.0,0.97
ofsetni papir 80 g,150 dot,118,100.0,52.0,81.0,0.0,30.0,31.0,-18.0,30.0,69.0,-18.0,0.59
ofsetni papir 80 g,150 dot,119,100.0,81.0,81.0,0.0,23.0,61.0,-4.0,25.0,89.0,-3.0,1.72
ofsetni papir 80 g,150 dot,120,100.0,100.0,81.0,0.0,21.0,94.0,-0.0,23.0,29.0,-0.0,1.0
ofsetni papir 80 g,150 dot,121,0.0,0.0,100.0,0.0,85.0,71.0,-3.0,85.0,27.0,-2.0,0.34
ofsetni papir 80 g,150 dot,122,0.0,21.0,100.0,0.0,78.0,10.0,6.0,78.0,20.0,6.0,0.33
ofsetni papir 80 g,150 dot,123,0.0,52.0,100.0,0.0,63.0,90.0,24.0,63.0,62.0,24.0,0.81
ofsetni papir 80 g,150 dot,124,0.0,81.0,100.0,0.0,51.0,98.0,44.0,51.0,54.0,45.0,0.68
ofsetni papir 80 g,150 dot,125,0.0,100.0,100.0,0.0,44.0,75.0,55.0,45.0,61.0,54.0,1.0
ofsetni papir 80 g,150 dot,126,16.0,0.0,100.0,0.0,78.0,62.0,-6.0,77.0,65.0,-7.0,0.81
ofsetni papir 80 g,150 dot,127,16.0,21.0,100.0,0.0,68.0,82.0,0.0,28.0,32.0,11.0,45.81
ofsetni papir 80 g,150 dot,128,16.0,52.0,100.0,0.0,57.0,58.0,15.0,57.0,71.0,16.0,0.26
ofsetni papir 80 g,150 dot,129,16.0,81.0,100.0,0.0,46.0,89.0,33.0,47.0,17.0,33.0,0.37
ofsetni papir 80 g,150 dot,130,16.0,100.0,100.0,0.0,40.0,60.0,45.0,41.0,18.0,45.0,0.83
ofsetni papir 80 g,150 dot,131,39.0,0.0,100.0,0.0,70.0,50.0,-16.0,69.0,91.0,-16.0,0.58
ofsetni papir 80 g,150 dot,132,39.0,21.0,100.0,0.0,57.0,60.0,-6.0,57.0,9.0,-6.0,0.75
ofsetni papir 80 g,150 dot,133,39.0,52.0,100.0,0.0,47.0,21.0,5.0,46.0,90.0,5.0,0.52
ofsetni papir 80 g,150 dot,134,39.0,81.0,100.0,0.0,38.0,32.0,20.0,38.0,66.0,19.0,0.85
ofsetni papir 80 g,150 dot,135,39.0,100.0,100.0,0.0,35.0,28.0,30.0,35.0,12.0,29.0,0.28
ofsetni papir 80 g,150 dot,136,64.0,0.0,100.0,0.0,58.0,63.0,-32.0,58.0,53.0,-31.0,0.89
ofsetni papir 80 g,150 dot,137,64.0,21.0,100.0,0.0,50.0,2.0,-19.0,50.0,0.0,-18.0,0.69
ofsetni papir 80 g,150 dot,138,64.0,52.0,100.0,0.0,37.0,11.0,-2.0,36.0,63.0,-2.0,0.46
ofsetni papir 80 g,150 dot,139,64.0,81.0,100.0,0.0,30.0,90.0,6.0,30.0,37.0,6.0,0.45
ofsetni papir 80 g,150 dot,140,64.0,100.0,100.0,0.0,27.0,16.0,12.0,27.0,35.0,12.0,0.23
ofsetni papir 80 g,150 dot,141,85.0,0.0,100.0,0.0,51.0,1.0,-43.0,36.0,76.0,-5.0,22.44
ofsetni papir 80 g,150 dot,142,85.0,21.0,100.0,0.0,43.0,67.0,-32.0,44.0,10.0,-32.0,0.73
ofsetni papir 80 g,150 dot,143,85.0,52.0,100.0,0.0,32.0,50.0,-12.0,31.0,99.0,-12.0,0.59
ofsetni papir 80 g,150 dot,144,85.0,81.0,100.0,0.0,26.0,63.0,-0.0,27.0,26.0,-0.0,0.86
ofsetni papir 80 g,150 dot,145,85.0,100.0,100.0,0.0,24.0,35.0,3.0,24.0,62.0,3.0,0.5
ofsetni papir 80 g,150 dot,146,100.0,0.0,100.0,0.0,45.0,83.0,-51.0,46.0,34.0,-50.0,0.84
ofsetni papir 80 g,150 dot,147,100.0,21.0,100.0,0.0,40.0,88.0,-40.0,41.0,37.0,-38.0,1.01
ofsetni papir 80 g,150 dot,148,100.0,52.0,100.0,0.0,30.0,39.0,-19.0,30.0,63.0,-19.0,0.56
ofsetni papir 80 g,150 dot,149,100.0,81.0,100.0,0.0,23.0,45.0,-4.0,24.0,9.0,-4.0,0.52
ofsetni papir 80 g,150 dot,150,100.0,100.0,100.0,0.0,22.0,75.0,-0.0,23.0,59.0,-0.0,0.62
ofsetni papir 80 g,150 dot,151,0.0,0.0,0.0,25.0,71.0,69.0,0.0,71.0,96.0,0.0,0.31
ofsetni papir 80 g,150 dot,152,0.0,31.0,0.0,25.0,65.0,37.0,8.0,64.0,68.0,8.0,0.59
ofsetni papir 80 g,150 dot,153,0.0,72.0,0.0,25.0,49.0,93.0,25.0,50.0,36.0,25.0,0.48
ofsetni papir 80 g,150 dot,154,0.0,100.0,0.0,25.0,39.0,61.0,41.0,39.0,25.0,41.0,0.38
ofsetni papir 80 g,150 dot,155,21.0,0.0,0.0,25.0,70.0,0.0,-4.0,27.0,76.0,7.0,45.73
ofsetni papir 80 g,150 dot,156,21.0,31.0,0.0,25.0,61.0,31.0,4.0,61.0,47.0,4.0,0.62
ofsetni papir 80 g,150 dot,157,21.0,72.0,0.0,25.0,45.0,54.0,20.0,45.0,26.0,20.0,0.32
ofsetni papir 80 g,150 dot,158,21.0,100.0,0.0,25.0,36.0,66.0,35.0,36.0,53.0,35.0,0.2
ofsetni papir 80 g,150 dot,159,52.0,0.0,0.0,25.0,59.0,68.0,-13.0,60.0,54.0,-12.0,0.88
ofsetni papir 80 g,150 dot,160,52.0,31.0,0.0,25.0,52.0,43.0,-4.0,52.0,38.0,-4.0,0.06
ofsetni papir 80 g,150 dot,161,52.0,72.0,0.0,25.0,39.0,46.0,10.0,39.0,28.0,9.0,0.97
ofsetni papir 80 g,150 dot,162,52.0,100.0,0.0,25.0,32.0,37.0,21.0,30.0,79.0,21.0,1.41
ofsetni papir 80 g,150 dot,163,81.0,0.0,0.0,25.0,50.0,16.0,-22.0,49.0,99.0,-22.0,0.2
ofsetni papir 80 g,150 dot,164,81.0,31.0,0.0,25.0,43.0,72.0,-14.0,43.0,54.0,-13.0,0.21
ofsetni papir 80 g,150 dot,165,81.0,72.0,0.0,25.0,33.0,25.0,-0.0,32.0,54.0,-0.0,0.65
ofsetni papir 80 g,150 dot,166,81.0,100.0,0.0,25.0,27.0,11.0,7.0,27.0,34.0,7.0,0.51
ofsetni papir 80 g,150 dot,167,100.0,0.0,0.0,25.0,44.0,22.0,-29.0,44.0,40.0,-28.0,0.37
ofsetni papir 80 g,150 dot,168,100.0,31.0,0.0,25.0,39.0,44.0,-20.0,39.0,44.0,-19.0,0.45
ofsetni papir 80 g,150 dot,169,100.0,72.0,0.0,25.0,29.0,17.0,-6.0,32.0,80.0,-11.0,9.39
ofsetni papir 80 g,150 dot,170,100.0,100.0,0.0,25.0,25.0,68.0,1.0,25.0,87.0,1.0,0.21
ofsetni papir 80 g,150 dot,171,0.0,0.0,31.0,25.0,71.0,90.0,-1.0,71.0,43.0,-1.0,0.57
ofsetni papir 80 g,150 dot,172,0.0,31.0,31.0,25.0,62.0,46.0,7.0,62.0,62.0,7.0,1.08
ofsetni papir 80 g,150 dot,173,0.0,72.0,31.0,25.0,48.0,68.0,24.0,48.0,68.0,25.0,0.71
ofsetni papir 80 g,150 dot,174,0.0,100.0,31.0,25.0,38.0,94.0,40.0,38.0,95.0,40.0,0.31
ofsetni papir 80 g,150 dot,175,21.0,0.0,31.0,25.0,65.0,93.0,-5.0,65.0,91.0,-5.0,0.96
ofsetni papir 80 g,150 dot,176,21.0,31.0,31.0,25.0,53.0,37.0,2.0,52.0,24.0,2.0,1.21
ofsetni papir 80 g,150 dot,177,21.0,72.0,31.0,25.0,42.0,59.0,18.0,42.0,41.0,17.0,0.44
ofsetni papir 80 g,150 dot,178,21.0,100.0,31.0,25.0,35.0,53.0,30.0,34.0,81.0,30.0,0.62
ofsetni papir 80 g,150 dot,179,52.0,0.0,31.0,25.0,57.0,31.0,-14.0,57.0,1.0,-14.0,0.56
ofsetni papir 80 g,150 dot,180,52.0,31.0,31.0,25.0,44.0,18.0,-4.0,43.0,55.0,-3.0,0.63
ofsetni papir 80 g,150 dot,181,52.0,72.0,31.0,25.0,34.0,57.0,8.0,33.0,77.0,8.0,0.75
ofsetni papir 80 g,150 dot,182,52.0,100.0,31.0,25.0,29.0,32.0,18.0,28.0,5.0,18.0,0.98
ofsetni papir 80 g,150 dot,183,81.0,0.0,31.0,25.0,47.0,70.0,-25.0,26.0,59.0,-1.0,27.2
ofsetni papir 80 g,150 dot,184,81.0,31.0,31.0,25.0,37.0,33.0,-12.0,37.0,91.0,-12.0,0.56
ofsetni papir 80 g,150 dot,185,81.0,72.0,31.0,25.0,27.0,39.0,-0.0,27.0,95.0,-0.0,0.54
ofsetni papir 80 g,150 dot,186,81.0,100.0,31.0,25.0,23.0,57.0,5.0,23.0,94.0,5.0,0.46
ofsetni papir 80 g,150 dot,187,100.0,0.0,31.0,25.0,41.0,88.0,-33.0,42.0,72.0,-32.0,0.85
ofsetni papir 80 g,150 dot,188,100.0,31.0,31.0,25.0,33.0,64.0,-18.0,33.0,89.0,-18.0,0.29
ofsetni papir 80 g,150 dot,189,100.0,72.0,31.0,25.0,25.0,2.0,-4.0,25.0,25.0,-4.0,0.2
ofsetni papir 80 g,150 dot,190,100.0,100.0,31.0,25.0,21.0,57.0,-0.0,21.0,32.0,0.0,0.44
ofsetni papir 80 g,150 dot,191,0.0,0.0,72.0,25.0,68.0,27.0,-3.0,67.0,95.0,-2.0,0.32
ofsetni papir 80 g,150 dot,192,0.0,31.0,72.0,25.0,59.0,74.0,6.0,58.0,93.0,6.0,0.72
ofsetni papir 80 g,150 dot,193,0.0,72.0,72.0,25.0,46.0,36.0,24.0,45.0,72.0,25.0,0.66
ofsetni papir 80 g,150 dot,194,0.0,100.0,72.0,25.0,36.0,85.0,39.0,36.0,71.0,40.0,0.27
ofsetni papir 80 g,150 dot,195,21.0,0.0,72.0,25.0,62.0,33.0,-6.0,61.0,12.0,-6.0,1.06
ofsetni papir 80 g,150 dot,196,21.0,31.0,72.0,25.0,51.0,93.0,1.0,50.0,34.0,1.0,1.61
ofsetni papir 80 g,150 dot,197,21.0,72.0,72.0,25.0,40.0,34.0,18.0,66.0,54.0,-2.0,38.55
ofsetni papir 80 g,150 dot,198,21.0,100.0,72.0,25.0,33.0,97.0,28.0,34.0,21.0,29.0,0.24
ofsetni papir 80 g,150 dot,199,52.0,0.0,72.0,25.0,53.0,55.0,-16.0,52.0,44.0,-16.0,1.13
ofsetni papir 80 g,150 dot,200,52.0,31.0,72.0,25.0,38.0,32.0,-5.0,40.0,29.0,-5.0,1.74
ofsetni papir 80 g,150 dot,201,52.0,72.0,72.0,25.0,29.0,66.0,6.0,31.0,69.0,6.0,1.84
ofsetni papir 80 g,150 dot,202,52.0,100.0,72.0,25.0,26.0,95.0,13.0,27.0,34.0,12.0,0.59
ofsetni papir 80 g,150 dot,203,81.0,0.0,72.0,25.0,44.0,11.0,-29.0,44.0,45.0,-28.0,0.59
ofsetni papir 80 g,150 dot,204,81.0,31.0,72.0,25.0,35.0,52.0,-15.0,35.0,55.0,-14.0,0.71
ofsetni papir 80 g,150 dot,205,81.0,72.0,72.0,25.0,26.0,5.0,-0.0,26.0,19.0,-0.0,0.39
ofsetni papir 80 g,150 dot,206,81.0,100.0,72.0,25.0,23.0,58.0,3.0,23.0,13.0,3.0,0.36
ofsetni papir 80 g,150 dot,207,100.0,0.0,72.0,25.0,39.0,26.0,-37.0,39.0,39.0,-36.0,0.7
ofsetni papir 80 g,150 dot,208,100.0,31.0,72.0,25.0,31.0,74.0,-22.0,32.0,41.0,-21.0,1.05
ofsetni papir 80 g,150 dot,209,100.0,72.0,72.0,25.0,22.0,36.0,-4.0,22.0,60.0,-4.0,0.18
ofsetni papir 80 g,150 dot,210,100.0,100.0,72.0,25.0,22.0,23.0,-0.0,21.0,27.0,-0.0,0.69
ofsetni papir 80 g,150 dot,211,0.0,0.0,100.0,25.0,66.0,66.0,-3.0,40.0,78.0,17.0,38.0
ofsetni papir 80 g,150 dot,212,0.0,31.0,100.0,25.0,57.0,69.0,6.0,57.0,46.0,6.0,0.38
ofsetni papir 80 g,150 dot,213,0.0,72.0,100.0,25.0,45.0,9.0,25.0,44.0,53.0,26.0,0.94
ofsetni papir 80 g,150 dot,214,0.0,100.0,100.0,25.0,37.0,62.0,39.0,37.0,80.0,38.0,0.53
ofsetni papir 80 g,150 dot,215,21.0,0.0,100.0,25.0,59.0,98.0,-7.0,59.0,98.0,-7.0,0.61
ofsetni papir 80 g,150 dot,216,21.0,31.0,100.0,25.0,49.0,40.0,1.0,49.0,29.0,1.0,1.19
ofsetni papir 80 g,150 dot,217,21.0,72.0,100.0,25.0,38.0,25.0,18.0,38.0,90.0,17.0,2.07
